scholarly medical academic political
orientation adjustment revision variation
alter convert reform transform
matter scale function amendment
acceptable aware acknowledged acquainted
implementation completion capacity accomplishment
challenges coordinates executes deteriorates
catchphrase indicator means clause
complexities compounds combinations dissociations
regard relief conflict strike
consultation talking_over taking_advice meeting
surrounding contact chamber association
devaluation approach measure decline
objectivity freedom discretion caution
draft issue law provision
refers_to enables assigns handicaps
item electricity staff energy
reference indication enforcement realization
bodies entities parts objects
similarity grant equivalent counterpart
emergence evolution incubation creation
compassion concession expansion grievance
exposure approaching susceptibility frontage
extrinsic exterior accidental external
assist hinder facilitate engage
primitive fundamental preliminary radical
brings_about gives_rise_to gives_birth_to generates
gender generation yawning identity
images portrayal vision reflection
orthodox literal liberal naive
licence approval credit account
pro sense coherence logic
relative marginal substantial modest
malicious technological medical legal
mental emotional frantic civil
observed related modified exhibited
processes observes conducts monitors
web network squad grille
input comment stance notion
accepted real objective straight
orientations profits power yields
requirement perspective outlook regulation
precise sound realistic unique
high-level select first-rate prime
archaeology pharmacy psychology acupuncture
pilot pursue trail assault
ratio frequency average correspondence
denied turned_down rejected objected
subjectives revenue taxation windfalls
flexibility security durability stability
image style approach mean
considerable merge substitution emergency
sustainable survivable allowable endurable
symbolic literal figurative indicative
lucrative product insurance target
alteration revision transition adjustment
curves trends shifts turnabouts
versions accounts variations issues
felicity welfare sake joy
seeing now whereas likely
